,feature-0014,feature-0029,feature-0048,feature-0057,feature-0061,feature-0080,feature-0273,feature-0282,feature-0304,feature-0336,feature-0350,feature-0359,feature-0367,feature-0411,feature-0430,feature-0462,feature-0482,feature-0483,feature-0485,feature-0501,feature-0510,feature-0533,feature-0573,feature-0579,feature-0598,feature-0689,feature-0694,feature-0697,feature-0703,feature-0764,feature-0812,feature-0853,feature-0856,feature-0862,feature-0870,feature-0934,feature-0972,feature-0982,feature-1002,feature-1054,feature-1073,feature-1088,feature-1105,feature-1136,feature-1137
Sample_0001_Non-LCa,10.504247235206199,643.661923473448,25172.3282770189,526.5307706908529,421.616342639836,6332.11299992453,5923.63670499261,215.350500234005,15579.7185045868,19451.7634340127,45.10577,10181.4883221663,67.4421170742017,1272.8461432081501,232198.513652808,240.16460485053398,110.678700681952,13.476621212546,55.55096800004001,77.74549,17426.343930496398,2030.9856345440198,9.671268470566881,9.655523458236,21787.9921465462,64155.5161261962,8877.773220715459,129.344958781322,453.228853936807,5192.81196468206,78654.3623934317,97451.08,22.376270287449998,41952.0332559775,30177.155110164702,12797.1981939553,38.0732,2381.82495074225,3921.6220505032898,151.847708563988,51566.010063122005,159.191943645763,152399.215113318,1836.0739251549398,2842.7863457124104
Sample_0002_Non-LCa,12.392569556608601,863.3128913421291,15579.7185045868,699.243150122401,487.995813577437,10899.865321385601,3215.2137194297497,322.93778558439203,30177.155110164702,17426.343930496398,41.66941,8877.773220715459,108.317860395874,2381.82495074225,232198.513652808,167.06300726953398,66.15083665720671,9.05390698642645,56.5822168314823,91.40241999999999,11776.6392333358,1667.73858489636,14.304750594407802,19.2294124519583,8308.73480684338,41952.0332559775,5923.63670499261,171.344233089828,794.947978911189,19451.7634340127,97451.0827124985,78654.36,31.784269716630803,51566.010063122005,25172.3282770189,21787.9921465462,42.99427,2675.90952004589,6332.11299992453,1454.2120600298301,64155.5161261962,184.512439305276,152399.215113318,1520.1000912033999,2528.24715689304
Sample_0003_LCa,13.7373058417569,1117.70116449842,10181.4883221663,132.276438599231,233.49665564520802,51566.010063122005,901.8004690409151,59.96678008202699,7236.07734143862,6332.11299992453,39.19984,2252.99176070568,31.3702316581962,163.148218388304,232198.513652808,87.75367829290221,24.7882527943065,9.27361854987166,36.9768918957665,58.769330000000004,7740.06911580213,1836.0739251549398,12.392569556608601,12.9852360359181,12797.1981939553,30177.155110164702,1454.2120600298301,74.63634275904091,84.2517950073013,19451.7634340127,64155.5161261962,41952.03,21.1352804647554,78654.3623934317,15579.7185045868,8877.773220715459,42.99427,10899.865321385601,25172.3282770189,2842.7863457124104,97451.0827124985,80.92728963512499,152399.215113318,2030.9856345440198,21787.9921465462
Sample_0004_Non-LCa,13.3504190681825,2842.7863457124104,21787.9921465462,175.60827454870602,526.5307706908529,25172.3282770189,1391.28404036806,99.3405769468207,15579.7185045868,17426.343930496398,77.74549,7740.06911580213,29.824640242979303,204.27935851752102,232198.513652808,303.242752855959,28.071462007249604,10.3923083399688,32.2019323363262,101.531,19451.7634340127,4537.8041803052,12.814077536061001,10.7163885634786,30177.155110164702,41952.0332559775,1750.45738445436,380.31069337108596,51.6828106639928,9512.63251640146,51566.010063122005,64155.52,45.1057662473435,97451.0827124985,14023.704006208798,10181.4883221663,47.42284,5923.63670499261,12797.1981939553,984.1936777813651,78654.3623934317,189.249340357013,152399.215113318,4852.0476758985,7236.07734143862
Sample_0005_Non-LCa,13.044671959001699,901.8004690409151,12797.1981939553,179.976799311603,144.962771302323,30177.155110164702,2252.99176070568,55.55096800004001,10899.865321385601,8877.773220715459,24.26857,3921.6220505032898,29.1085673296716,159.191943645763,232198.513652808,70.2325010571459,80.92728963512499,9.46942619931438,22.593518734393896,52.624269999999996,7236.07734143862,1454.2120600298301,10.9181515080134,14.857045835564803,5545.81215932176,41952.0332559775,2139.98805468982,44.3977801796853,68.8494526972984,19451.7634340127,78654.3623934317,51566.01,38.6226783222563,64155.5161261962,25172.3282770189,17426.343930496398,20.047710000000002,5923.63670499261,7740.06911580213,593.611671150147,97451.0827124985,49.920509276015,152399.215113318,1931.9789591857398,8308.73480684338
Sample_0006_Non-LCa,14.156835702742601,1391.28404036806,19451.7634340127,209.703574502162,221.16694420524502,11776.6392333358,5923.63670499261,63.5475958878296,21787.9921465462,17426.343930496398,25.89271,10899.865321385601,43.689084284921506,285.644299486775,232198.513652808,95.20466004738279,141.838947696022,9.50823356629448,28.4059681055095,45.87056,15579.7185045868,3017.03192133755,12.442594895297301,11.915735402430698,12797.1981939553,64155.5161261962,4537.8041803052,54.560376516045196,108.317860395874,9512.63251640146,97451.0827124985,78654.36,24.5196478039582,25172.3282770189,41952.0332559775,30177.155110164702,23.2716,3215.2137194297497,5545.81215932176,44.3977801796853,51566.010063122005,61.140044682319704,152399.215113318,3662.82923824221,2842.7863457124104
Sample_0007_Non-LCa,12.928830457927699,8877.773220715459,7740.06911580213,618.348622385677,2252.99176070568,30177.155110164702,1520.1000912033999,303.242752855959,1070.92459065281,2030.9856345440198,93.23252,1836.0739251549398,132.276438599231,506.22737675109397,152399.215113318,526.5307706908529,16.854369422362698,9.07683653753789,233.49665564520802,159.1919,5545.81215932176,17426.343930496398,16.0137218461147,138.53237727081,9512.63251640146,41952.0332559775,1218.67335768311,943.2734728139619,344.643818007332,64155.5161261962,25172.3282770189,97451.08,101.53100011269699,51566.010063122005,14023.704006208798,19451.7634340127,61.14004,8308.73480684338,10181.4883221663,406.817520865886,78654.3623934317,699.243150122401,232198.513652808,15579.7185045868,12797.1981939553
Sample_0008_Non-LCa,17.0805351314326,794.947978911189,21787.9921465462,87.75367829290221,303.242752855959,25172.3282770189,2030.9856345440198,85.9317731824274,15579.7185045868,19451.7634340127,48.214859999999994,9512.63251640146,41.0338561548156,138.53237727081,232198.513652808,108.317860395874,46.635585807651,10.4746808792755,29.1085673296716,62.300419999999995,12797.1981939553,2528.24715689304,10.504247235206199,12.596804684609198,17426.343930496398,41952.0332559775,4221.13135958984,129.344958781322,77.74548898454009,10899.865321385601,97451.0827124985,64155.52,24.7882527943065,51566.010063122005,30177.155110164702,14023.704006208798,31.784270000000003,4852.0476758985,7740.06911580213,91.4024163082272,78654.3623934317,95.20466004738279,152399.215113318,2381.82495074225,5923.63670499261
Sample_0009_Non-LCa,25.6145519197142,1117.70116449842,25172.3282770189,189.249340357013,141.838947696022,17426.343930496398,2675.90952004589,53.56975546946779,21787.9921465462,30177.155110164702,20.94216,7236.07734143862,30.980815741990003,135.366272230162,232198.513652808,74.63634275904091,84.2517950073013,9.29420755296417,20.573204734325603,80.92729,11776.6392333358,2139.98805468982,9.73628939715742,11.5229744768258,10899.865321385601,51566.010063122005,3017.03192133755,32.2019323363262,68.8494526972984,4852.0476758985,97451.0827124985,64155.52,17.3197367433902,41952.0332559775,19451.7634340127,12797.1981939553,20.39173,3921.6220505032898,6332.11299992453,344.643818007332,78654.3623934317,45.1057662473435,152399.215113318,2528.24715689304,5923.63670499261
Sample_0010_Non-LCa,11.3233051480806,1750.45738445436,30177.155110164702,1272.8461432081501,159.191943645763,10899.865321385601,4221.13135958984,46.635585807651,17426.343930496398,25172.3282770189,14.23052,8308.73480684338,21.7338074902033,71.7014519753727,232198.513652808,91.4024163082272,171.344233089828,9.45668569270739,14.4585366400263,115.4988,15579.7185045868,3215.2137194297497,10.883411810490802,11.8224391067031,11776.6392333358,51566.010063122005,2381.82495074225,29.470252994257898,35.9378393068898,19451.7634340127,97451.0827124985,64155.52,16.4227614944714,41952.0332559775,21787.9921465462,14023.704006208798,13.87389,3426.57091133942,3921.6220505032898,247.250629668951,78654.3623934317,45.1057662473435,152399.215113318,3662.82923824221,5923.63670499261
Sample_0011_Non-LCa,11.915735402430698,1391.28404036806,21787.9921465462,233.49665564520802,132.276438599231,19451.7634340127,1750.45738445436,77.74548898454009,15579.7185045868,25172.3282770189,24.51965,9512.63251640146,45.1057662473435,240.16460485053398,232198.513652808,57.679426916205394,87.75367829290221,9.842942819966071,27.0887437345057,38.0732,10899.865321385601,2381.82495074225,9.98253727833132,10.0029442188956,14023.704006208798,41952.0332559775,4852.0476758985,37.514253269444296,108.317860395874,4537.8041803052,78654.3623934317,97451.08,18.488887153753396,51566.010063122005,30177.155110164702,17426.343930496398,20.39173,3921.6220505032898,7740.06911580213,254.386329233115,64155.5161261962,46.635585807651,152399.215113318,2842.7863457124104,4221.13135958984
Sample_0012_Non-LCa,11.5229744768258,828.206379102171,19451.7634340127,344.643818007332,148.386196474162,21787.9921465462,3426.57091133942,49.920509276015,25172.3282770189,17426.343930496398,16.635270000000002,4852.0476758985,24.7882527943065,437.027507684822,232198.513652808,55.55096800004001,95.20466004738279,8.622836308761519,20.9421590047581,62.300419999999995,12797.1981939553,1520.1000912033999,8.94017476097279,10.9874267877086,10181.4883221663,41952.0332559775,2381.82495074225,42.994265551862604,194.08420325880002,8877.773220715459,78654.3623934317,64155.52,14.537191001684699,51566.010063122005,30177.155110164702,14023.704006208798,12.81408,4537.8041803052,7236.07734143862,3662.82923824221,97451.0827124985,50.778602119226896,152399.215113318,1750.45738445436,5192.81196468206
Sample_0013_Non-LCa,14.014386497380901,828.206379102171,11776.6392333358,901.8004690409151,294.42909455968,41952.0332559775,2139.98805468982,95.20466004738279,4537.8041803052,7236.07734143862,39.79582,2381.82495074225,53.56975546946779,1026.7681101921698,232198.513652808,99.3405769468207,49.920509276015,8.871969765860491,36.9768918957665,54.56038,12797.1981939553,1391.28404036806,9.29420755296417,9.284024343178631,5545.81215932176,30177.155110164702,2675.90952004589,85.9317731824274,254.386329233115,10899.865321385601,51566.010063122005,64155.52,20.9421590047581,78654.3623934317,17426.343930496398,9512.63251640146,31.37023,10181.4883221663,21787.9921465462,1836.0739251549398,97451.0827124985,103.706767523862,152399.215113318,1331.1921790084,19451.7634340127
Sample_0014_LCa,13.476621212546,943.2734728139619,11776.6392333358,132.276438599231,294.42909455968,25172.3282770189,2030.9856345440198,113.066057970613,17426.343930496398,7740.06911580213,39.79582,3017.03192133755,36.4506124310931,144.962771302323,232198.513652808,155.432605771302,64.7781396994912,8.65770997780206,30.1907616163388,55.55096999999999,10899.865321385601,1931.9789591857398,13.671945938420901,11.2854889982319,2842.7863457124104,41952.0332559775,1589.53973446776,93.2325163220042,57.679426916205394,30177.155110164702,51566.010063122005,64155.52,48.214860646833,78654.3623934317,21787.9921465462,14023.704006208798,44.39778,5923.63670499261,8308.73480684338,3426.57091133942,97451.0827124985,87.75367829290221,152399.215113318,2381.82495074225,7236.07734143862
