,feature-0014,feature-0029,feature-0031,feature-0035,feature-0057,feature-0061,feature-0082,feature-0282,feature-0304,feature-0345,feature-0350,feature-0367,feature-0411,feature-0462,feature-0482,feature-0483,feature-0485,feature-0501,feature-0573,feature-0579,feature-0598,feature-0697,feature-0703,feature-0764,feature-0853,feature-0856,feature-0938,feature-0972,feature-1024,feature-1054,feature-1088,feature-1136,feature-1137
Sample_0001_Non-LCa,10.504247235206199,643.661923473448,1667.73858489636,730.6080078304041,526.5307706908529,421.616342639836,11776.6392333358,215.350500234005,15579.7185045868,9.030169510022679,45.10577,67.4421170742017,1272.8461432081501,240.16460485053398,110.678700681952,13.476621212546,55.55096800004001,77.74549,9.671268470566881,9.655523458236,21787.9921465462,129.344958781322,453.228853936807,5192.81196468206,97451.08,22.376270287449998,7236.07734143862,38.0732,15.020845886326999,151.847708563988,159.191943645763,1836.0739251549398,2842.7863457124104
Sample_0002_Non-LCa,12.392569556608601,863.3128913421291,1117.70116449842,5192.81196468206,699.243150122401,487.995813577437,4852.0476758985,322.93778558439203,30177.155110164702,8.89625164753077,41.66941,108.317860395874,2381.82495074225,167.06300726953398,66.15083665720671,9.05390698642645,56.5822168314823,91.40241999999999,14.304750594407802,19.2294124519583,8308.73480684338,171.344233089828,794.947978911189,19451.7634340127,78654.36,31.784269716630803,3662.82923824221,42.99427,20.0477092606933,1454.2120600298301,184.512439305276,1520.1000912033999,2528.24715689304
Sample_0003_LCa,13.7373058417569,1117.70116449842,380.31069337108596,4221.13135958984,132.276438599231,233.49665564520802,3921.6220505032898,59.96678008202699,7236.07734143862,12.098506335380002,39.19984,31.3702316581962,163.148218388304,87.75367829290221,24.7882527943065,9.27361854987166,36.9768918957665,58.769330000000004,12.392569556608601,12.9852360359181,12797.1981939553,74.63634275904091,84.2517950073013,19451.7634340127,41952.03,21.1352804647554,4852.0476758985,42.99427,15.020845886326999,2842.7863457124104,80.92728963512499,2030.9856345440198,21787.9921465462
Sample_0004_Non-LCa,13.3504190681825,2842.7863457124104,344.643818007332,1520.1000912033999,175.60827454870602,526.5307706908529,3426.57091133942,99.3405769468207,15579.7185045868,11.171947767843301,77.74549,29.824640242979303,204.27935851752102,303.242752855959,28.071462007249604,10.3923083399688,32.2019323363262,101.531,12.814077536061001,10.7163885634786,30177.155110164702,380.31069337108596,51.6828106639928,9512.63251640146,64155.52,45.1057662473435,3662.82923824221,47.42284,15.5430998734818,984.1936777813651,189.249340357013,4852.0476758985,7236.07734143862
Sample_0005_Non-LCa,13.044671959001699,901.8004690409151,108.317860395874,2675.90952004589,179.976799311603,144.962771302323,3662.82923824221,55.55096800004001,10899.865321385601,11.2468774290986,24.26857,29.1085673296716,159.191943645763,70.2325010571459,80.92728963512499,9.46942619931438,22.593518734393896,52.624269999999996,10.9181515080134,14.857045835564803,5545.81215932176,44.3977801796853,68.8494526972984,19451.7634340127,51566.01,38.6226783222563,4537.8041803052,20.047710000000002,14.014386497380901,593.611671150147,49.920509276015,1931.9789591857398,8308.73480684338
Sample_0006_Non-LCa,14.156835702742601,1391.28404036806,227.320096533558,2139.98805468982,209.703574502162,221.16694420524502,2030.9856345440198,63.5475958878296,21787.9921465462,14.695823486346299,25.89271,43.689084284921506,285.644299486775,95.20466004738279,141.838947696022,9.50823356629448,28.4059681055095,45.87056,12.442594895297301,11.915735402430698,12797.1981939553,54.560376516045196,108.317860395874,9512.63251640146,78654.36,24.5196478039582,6759.71221132047,23.2716,15.1082142632304,44.3977801796853,61.140044682319704,3662.82923824221,2842.7863457124104
Sample_0007_Non-LCa,12.928830457927699,8877.773220715459,2842.7863457124104,7236.07734143862,618.348622385677,2252.99176070568,163.148218388304,303.242752855959,1070.92459065281,8.58145703851867,93.23252,132.276438599231,506.22737675109397,526.5307706908529,16.854369422362698,9.07683653753789,233.49665564520802,159.1919,16.0137218461147,138.53237727081,9512.63251640146,943.2734728139619,344.643818007332,64155.5161261962,97451.08,101.53100011269699,1026.7681101921698,61.14004,115.498816274161,406.817520865886,699.243150122401,15579.7185045868,12797.1981939553
Sample_0008_Non-LCa,17.0805351314326,794.947978911189,670.918723923204,1667.73858489636,87.75367829290221,303.242752855959,1117.70116449842,85.9317731824274,15579.7185045868,12.870062682966402,48.214859999999994,41.0338561548156,138.53237727081,108.317860395874,46.635585807651,10.4746808792755,29.1085673296716,62.300419999999995,10.504247235206199,12.596804684609198,17426.343930496398,129.344958781322,77.74548898454009,10899.865321385601,64155.52,24.7882527943065,7236.07734143862,31.784270000000003,14.304750594407802,91.4024163082272,95.20466004738279,2381.82495074225,5923.63670499261
Sample_0009_Non-LCa,25.6145519197142,1117.70116449842,151.847708563988,1331.1921790084,189.249340357013,141.838947696022,15579.7185045868,53.56975546946779,21787.9921465462,11.1343320829452,20.94216,30.980815741990003,135.366272230162,74.63634275904091,84.2517950073013,9.29420755296417,20.573204734325603,80.92729,9.73628939715742,11.5229744768258,10899.865321385601,32.2019323363262,68.8494526972984,4852.0476758985,64155.52,17.3197367433902,8877.773220715459,20.39173,12.870062682966402,344.643818007332,45.1057662473435,2528.24715689304,5923.63670499261
Sample_0010_Non-LCa,11.3233051480806,1750.45738445436,198.98066007321603,2252.99176070568,1272.8461432081501,159.191943645763,5192.81196468206,46.635585807651,17426.343930496398,12.2931385552198,14.23052,21.7338074902033,71.7014519753727,91.4024163082272,171.344233089828,9.45668569270739,14.4585366400263,115.4988,10.883411810490802,11.8224391067031,11776.6392333358,29.470252994257898,35.9378393068898,19451.7634340127,64155.52,16.4227614944714,4537.8041803052,13.87389,11.9612491915112,247.250629668951,45.1057662473435,3662.82923824221,5923.63670499261
